WALLET;NFT ID;LEVEL;RARITY;ILLEGAL STATUS
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;1131874;1;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;1129878;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;1129782;1;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;1129737;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;1118844;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;1114538;1;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;1112822;1;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;1112819;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;1112746;1;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;1098964;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;1098950;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;1081006;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;1080281;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;1077647;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;1075755;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;1075510;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;1074009;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;1072189;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;1069452;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;1069191;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;1060931;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;1056560;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;1003369;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;1000255;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;1000073;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;999214;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;996643;10;5;0
